id,year,month,day,weekday,hour,minute,lat,lon
253163,2008,1,13,1,17,38,34.32694722,-86.48956667
253164,2008,1,18,6,12,5,33.52088333,-86.84773889
253165,2008,1,1,3,2,0,32.47751111,-86.34662778
253166,2008,1,23,4,10,25,30.81478611,-88.17191667
253167,2008,1,3,5,21,45,32.32634722,-86.320975
253168,2008,1,29,3,4,52,32.65793333,-85.34298611
253169,2008,1,5,7,16,22,30.73479722,-88.07083889
253170,2008,1,31,5,15,50,32.63461944,-85.47734722
253171,2008,1,13,1,16,15,33.52606944,-86.87268889
253172,2008,1,1,3,6,5,33.62683056,-85.70364722
253173,2008,1,1,3,6,55,34.20256389,-85.91345833
253174,2008,1,3,5,21,15,34.62005556,-86.14524722
253175,2008,1,4,6,8,17,30.67315556,-88.08705
253176,2008,1,5,7,13,45,31.43115556,-85.74907778
253177,2008,1,5,7,17,55,33.492025,-86.83213611
253178,2008,1,5,7,15,2,33.10942778,-87.92576111
253179,2008,1,7,2,12,45,33.78418611,-85.92316111
253180,2008,1,9,4,0,30,31.16199722,-85.73635278
253181,2008,1,25,6,19,5,30.59275556,-87.73211667
253182,2008,1,9,4,12,30,31.75701389,-88.16310278
253183,2008,1,10,5,9,1,31.54491389,-87.51327778
253184,2008,1,12,7,3,0,32.288275,-86.98980556
253185,2008,1,13,1,16,15,32.04581944,-86.54200833
253186,2008,1,11,6,3,30,31.55671389,-85.18376944
253187,2008,1,15,3,10,50,31.94962778,-86.51699167
253188,2008,1,11,6,15,5,32.25363889,-86.17879444
253189,2008,1,15,3,6,20,30.75988333,-88.31061944
253190,2008,1,16,4,17,25,33.650875,-86.82413611
253191,2008,1,16,4,18,0,33.08621667,-86.74900278
253192,2008,1,24,5,12,45,33.91645833,-86.10338333
253193,2008,1,25,6,15,22,33.08621389,-86.749
253194,2008,1,25,6,21,35,33.84118333,-87.35077778
253195,2008,1,19,7,8,25,32.21797778,-88.07177222
253196,2008,1,26,7,6,40,31.62601944,-86.45431667
253197,2008,1,20,1,4,0,33.98171944,-87.18139167
253198,2008,1,26,7,7,30,34.90473611,-87.62771389
253199,2008,1,21,2,18,25,32.73235,-85.19117222
253200,2008,1,21,2,20,10,33.64117222,-86.02627222
253201,2008,1,26,7,7,58,34.76019444,-88.08299167
253202,2008,1,27,1,3,40,31.00389722,-87.03840833
253203,2008,1,27,1,16,25,33.70716389,-87.71786667
253204,2008,1,27,1,1,50,33.80178889,-86.39763889
253205,2008,1,27,1,11,10,34.81825,-87.303775
253206,2008,1,30,4,1,40,33.89296944,-87.1244
253207,2008,1,30,4,14,0,32.26691389,-86.35508611
253208,2008,2,3,1,16,10,32.64450556,-86.12294444
253209,2008,2,3,1,0,4,33.55949722,-86.16268333
253210,2008,2,3,1,21,17,31.01238056,-87.62364722
253211,2008,1,10,5,20,15,32.368,-86.30009167
253212,2008,2,6,4,7,5,32.66891111,-86.25330556
253213,2008,1,8,3,15,29,34.24929444,-86.99741667
253214,2008,2,6,4,8,0,31.12200278,-87.82461667
253215,2008,2,8,6,20,7,33.25775556,-87.07724722
253216,2008,2,9,7,5,45,31.56341111,-86.736925
253217,2008,1,13,1,1,20,34.68900278,-86.92544444
253218,2008,2,9,7,17,20,33.87606111,-87.46906111
253219,2008,1,30,4,7,15,31.94691667,-87.15524167
253220,2008,2,11,2,17,10,31.22776667,-87.17925278
253221,2008,1,22,3,16,50,33.37864167,-87.70011389
253222,2008,2,14,5,7,50,32.70286389,-86.49048056
253223,2008,2,15,6,12,30,31.39926667,-85.97068333
253224,2008,1,26,7,22,15,33.16293056,-88.17020833
253225,2008,2,1,6,17,0,32.87391389,-87.91623889
253226,2008,2,2,7,16,0,32.10380278,-86.4049
253227,2008,1,22,3,18,35,31.42553889,-86.08143056
253228,2008,2,8,6,12,20,33.45809722,-86.95028056
253229,2008,1,25,6,19,23,34.54080556,-86.68541944
253230,2008,2,12,3,8,30,34.53791111,-87.1591
253231,2008,2,14,5,9,25,30.71939722,-88.40417778
253232,2008,1,15,3,21,50,34.32418889,-87.57966111
253233,2008,2,16,7,20,52,33.55933333,-86.63994167
253234,2008,1,26,7,18,14,31.214225,-85.59692778
253235,2008,2,18,2,19,34,31.823,-86.82994444
253236,2008,2,2,7,18,9,34.49502778,-86.38745556
253237,2008,2,2,7,15,20,34.1263,-86.68025833
253238,2008,2,5,3,19,30,33.76814167,-85.76982778
253239,2008,2,5,3,22,50,33.98270833,-86.06880556
253240,2008,2,18,2,12,5,33.7633,-87.79629167
253241,2008,2,7,5,16,0,31.06900556,-86.40243333
253242,2008,2,22,6,5,50,31.309425,-85.52295278
253243,2008,2,8,6,13,45,31.46688333,-87.33986389
253244,2008,2,24,1,20,0,32.20466389,-86.41201944
253245,2008,2,4,2,12,8,32.49053333,-85.02993056
253246,2008,1,24,5,9,16,33.60763333,-86.95821944
253247,2008,2,18,2,20,46,33.83841111,-87.25463056
253248,2008,3,8,7,5,10,33.51048889,-86.81401667
253249,2008,1,5,7,20,29,30.38848889,-87.64764444
253250,2008,1,23,4,1,5,34.65580278,-86.95047778
253251,2008,2,1,6,17,58,30.65000278,-88.07483333
253252,2008,2,2,7,2,55,33.26634444,-87.59091944
253253,2008,2,22,6,8,45,31.90083611,-87.08646944
253254,2008,2,22,6,23,55,34.085525,-86.97500556
253255,2008,2,6,4,12,22,32.50152222,-85.05869722
253256,2008,2,23,7,15,15,33.481675,-86.57001389
253257,2008,2,25,2,0,25,32.51215,-85.59044722
253258,2008,2,8,6,19,25,32.77204722,-87.75767222
253259,2008,2,26,3,12,55,31.76706944,-85.961075
253260,2008,2,8,6,16,10,33.90574722,-86.94078611
253261,2008,2,11,2,7,48,30.63501389,-88.09911944
253262,2008,2,28,5,16,15,34.00041667,-86.95519167
253263,2008,2,11,2,22,0,33.71293056,-85.68192222
253264,2008,2,17,1,2,12,33.24096667,-87.09068333
253265,2008,3,1,7,14,35,32.16549444,-85.26592222
253266,2008,2,18,2,14,40,34.49426667,-86.34721667
253267,2008,2,18,2,17,50,34.4162,-87.16084444
253268,2008,2,19,3,19,50,33.61888889,-86.81490833
253269,2008,3,1,7,1,0,32.52289722,-85.2625
253270,2008,3,3,2,10,20,32.749275,-86.50308611
253271,2008,3,5,4,18,15,33.82929444,-85.91095
253272,2008,3,5,4,18,55,32.995675,-85.99317222
253273,2008,3,11,3,13,50,32.021175,-86.76426944
253274,2008,2,22,6,23,21,34.94491111,-87.18754167
253275,2008,3,2,1,17,0,34.01189444,-85.56635278
253276,2008,2,23,7,20,13,33.22088333,-87.57146389
253277,2008,3,6,5,23,15,34.81909722,-86.74920556
253278,2008,3,16,1,17,10,33.51541111,-86.82341944
253279,2008,3,23,1,11,56,33.55308611,-86.72086111
253280,2008,3,21,6,20,0,32.51085556,-86.03328056
253281,2008,2,23,7,22,26,33.64291111,-86.61449444
253282,2008,3,21,6,19,58,34.10961667,-85.57217778
253283,2008,2,20,4,15,15,34.80638611,-87.05393611
253284,2008,2,20,4,15,15,34.37179722,-86.90931944
253285,2008,3,13,5,5,50,34.31513611,-86.07937222
253286,2008,2,24,1,10,45,30.82241944,-88.25163889
253287,2008,3,8,7,8,11,32.366325,-86.14715833
253288,2008,3,11,3,21,45,32.43445833,-87.78386111
253289,2008,3,12,4,2,0,34.89573333,-86.74684444
253290,2008,3,13,5,4,30,33.089325,-87.67534167
253291,2008,3,14,6,6,0,34.24783333,-87.95763611
253292,2008,3,15,7,0,15,32.63537222,-86.28101944
253293,2008,3,16,1,18,15,32.76144722,-85.19708611
253294,2008,3,6,5,21,30,31.36941667,-85.84179722
253295,2008,2,29,6,22,30,32.68385833,-86.54788889
253296,2008,3,8,7,22,30,30.50735,-88.25895556
253297,2008,3,12,4,6,2,33.15968611,-87.153125
253298,2008,3,12,4,10,5,33.42440833,-86.95703333
253299,2008,3,13,5,22,15,30.822675,-88.24812778
253300,2008,3,16,1,3,15,33.41166111,-86.93628333
253301,2008,3,29,7,22,51,32.49084444,-86.36534444
253302,2008,3,19,4,12,0,33.60526389,-85.81911667
253303,2008,3,29,7,18,35,31.39175278,-87.36851667
253304,2008,3,19,4,9,15,33.7886,-87.09045
253305,2008,3,29,7,4,30,33.436725,-85.51978889
253306,2008,3,30,1,17,50,34.63851389,-85.81131111
253307,2008,3,13,5,5,20,34.47405833,-87.00190278
253308,2008,3,13,5,20,5,30.73925278,-88.09444444
253309,2008,3,30,1,0,58,33.59603333,-86.76049167
253310,2008,3,16,1,1,11,33.45669722,-87.19373333
253311,2008,4,1,3,5,55,30.68548611,-88.14488056
253312,2008,3,15,7,16,55,32.55068333,-87.83487778
253313,2008,2,21,5,11,5,33.77914722,-87.08283889
253314,2008,3,6,5,13,35,34.92710833,-87.01266389
253315,2008,3,17,2,15,53,34.82481389,-85.78577778
253316,2008,3,8,7,23,5,34.62776111,-87.09015833
253317,2008,3,14,6,8,20,34.85963056,-86.73097222
253318,2008,3,28,6,13,20,30.64725278,-88.12956111
253319,2008,1,26,7,4,30,30.68493611,-88.05798333
253320,2008,4,4,6,22,15,31.10137778,-86.94640278
253321,2008,1,8,3,2,40,33.56137778,-86.82791111
253322,2008,1,10,5,6,12,33.526425,-86.85028611
253323,2008,1,9,4,6,25,33.48881667,-86.79320556
253324,2008,3,24,2,18,10,33.36685278,-86.88468056
253325,2008,3,30,1,2,31,33.38370556,-86.98956389
253326,2008,3,31,2,19,25,33.39164167,-87.01354167
253327,2008,3,27,5,22,45,34.01222222,-85.76818333
253328,2008,4,8,3,13,15,32.86632222,-87.44718056
253329,2008,3,13,5,19,30,34.05064167,-86.11166944
253330,2008,4,6,1,1,30,34.06951111,-85.79508889
253331,2008,4,5,7,5,10,33.85646944,-85.90383889
253332,2008,3,21,6,10,55,33.39730278,-86.77928889
253333,2008,4,12,7,4,0,32.18574722,-86.68659167
253334,2008,4,12,7,4,48,32.56547778,-86.16989167
253335,2008,3,22,7,19,5,32.12626944,-87.71435
253336,2008,4,9,4,4,0,33.437475,-86.22737778
253337,2008,4,5,7,5,31,32.73052222,-87.66197222
253338,2008,3,25,3,17,1,32.61321111,-85.40899167
253339,2008,3,23,1,12,42,32.79954444,-86.579525
253340,2008,4,3,5,20,55,34.48993333,-87.672975
253341,2008,4,6,1,15,0,30.65989722,-88.05965833
253342,2008,3,10,2,13,30,34.98565556,-87.64721944
253343,2008,4,5,7,8,5,32.36082222,-86.17512778
253344,2008,4,13,1,7,25,33.42462222,-86.88546111
253345,2008,4,19,7,4,0,30.6833,-88.06339167
253346,2008,3,3,2,15,15,31.77314444,-88.32900556
253347,2008,3,20,5,18,18,32.50220278,-85.04849722
253348,2008,4,11,6,23,55,32.390725,-85.90804444
253349,2008,3,27,5,21,4,34.22407222,-87.66299167
253350,2008,4,9,4,20,25,32.81079444,-86.70796389
253351,2008,4,12,7,1,13,32.50172778,-86.39197778
253352,2008,4,9,4,18,30,33.65996111,-85.87400278
253353,2008,4,12,7,3,30,33.23473889,-87.14454167
253354,2008,4,14,2,10,35,31.96042778,-88.37797222
