id,year,month,day,weekday,hour,minute,lat,lon
286851,2007,1,2,3,23,15,33.45583889,-87.01792778
286852,2007,1,30,3,13,5,34.16059722,-85.678075
286853,2007,1,14,1,12,13,33.97571667,-86.49634722
286854,2007,1,1,2,15,0,33.85325833,-85.91562222
286855,2007,1,6,7,19,35,32.48883333,-86.40893611
286856,2007,1,1,2,4,55,31.59715833,-86.2325
286857,2007,1,8,2,6,1,34.29932778,-85.93116111
286858,2007,1,8,2,15,37,32.31005278,-86.36991111
286859,2007,1,2,3,16,50,34.50047222,-86.68860278
286860,2007,1,3,4,15,46,33.33733889,-87.93400278
286861,2007,1,8,2,17,10,33.81459444,-86.68545556
286862,2007,1,9,3,12,22,33.32659444,-86.78161389
286863,2007,1,10,4,12,20,31.98315278,-88.29020833
286864,2007,1,11,5,6,50,34.78389444,-86.863825
286865,2007,1,11,5,17,40,32.81878611,-86.56754444
286866,2007,1,12,6,15,0,34.73648333,-87.52910833
286867,2007,1,13,7,10,30,32.679525,-86.43178056
286868,2007,1,13,7,12,45,31.91404722,-88.31075556
286869,2007,1,4,5,5,45,31.179825,-87.46379167
286870,2007,1,13,7,15,30,34.25876944,-88.12113611
286871,2007,1,4,5,6,5,33.32931944,-87.04248333
286872,2007,1,14,1,23,24,32.3814,-86.00908889
286873,2007,1,14,1,1,55,34.67113889,-87.67687222
286874,2007,1,14,1,23,40,31.50676111,-85.99406944
286875,2007,1,14,1,21,10,32.70193611,-85.52602778
286876,2007,1,15,2,8,15,31.20403889,-85.31606667
286877,2007,1,15,2,12,25,33.62103611,-87.15224722
286878,2007,1,5,6,6,0,32.87360833,-86.61381389
286879,2007,1,16,3,20,20,32.36843889,-85.09338056
286880,2007,1,17,4,5,25,30.92281111,-88.03183056
286881,2007,1,17,4,7,0,34.49121944,-86.89580278
286882,2007,1,5,6,20,5,34.30820556,-86.899325
286883,2007,1,6,7,14,0,32.09697778,-85.51125278
286884,2007,1,6,7,22,38,31.65275556,-86.42991389
286885,2007,1,26,6,23,45,32.96633056,-87.81266389
286886,2007,1,26,6,19,17,32.32516667,-85.15787222
286887,2007,1,26,6,11,30,34.42174722,-86.71464167
286888,2007,1,6,7,2,30,30.60121667,-88.15111111
286889,2007,1,27,7,10,25,33.80198333,-87.56735278
286890,2007,1,28,1,23,10,34.61757222,-85.98405556
286891,2007,1,31,4,13,0,34.46761944,-86.98260833
286892,2007,1,18,5,23,30,34.62704444,-87.34535556
286893,2007,1,19,6,22,43,32.488625,-86.05859722
286894,2007,1,20,7,17,35,32.60160833,-86.20722778
286895,2007,1,20,7,20,20,30.71123611,-88.26531667
286896,2007,2,1,5,17,50,34.61926944,-87.02136389
286897,2007,1,29,2,11,50,33.25101111,-87.13395
