id,year,month,day,weekday,hour,minute,lat,lon
222665,2009,1,2,,18,15,33.80514722,-87.13351111
222666,2009,1,1,,20,0,30.60386944,-87.86482222
222667,2009,1,1,,15,59,33.69306111,-85.67662778
222668,2009,1,3,,8,40,31.26560278,-85.62353611
222669,2009,1,3,,0,5,34.98948611,-87.22578056
222670,2009,1,6,,14,50,33.943325,-86.41708333
222671,2009,1,7,,5,30,33.8034,-88.11713333
222672,2009,1,7,,19,50,33.64149167,-85.88514722
222673,2009,1,8,,17,48,33.14240278,-87.44507778
222674,2009,1,9,,21,30,30.98290833,-88.238925
222675,2009,1,13,,9,5,31.17856944,-85.826675
222676,2009,1,15,,14,45,32.81670833,-86.67320278
222677,2009,1,15,,19,58,32.32344722,-86.23832778
222678,2009,1,17,,15,0,34.22773611,-86.51943611
222679,2009,1,21,,22,45,31.25852222,-87.621825
222680,2009,1,21,,10,10,31.90233611,-86.01161944
222681,2009,1,22,,8,38,32.27033333,-86.51298889
222682,2009,1,1,,0,54,34.60811667,-86.97925278
222683,2009,1,14,,17,40,30.45355833,-88.24098611
222684,2009,1,21,,22,37,34.53885556,-86.91489167
222685,2009,1,25,,13,45,31.74689167,-87.92620278
222686,2009,1,26,,13,30,34.31823889,-87.69606944
222687,2009,1,2,,12,37,33.37634167,-86.80499444
222688,2009,1,13,,10,25,33.61217222,-86.68755833
222689,2009,1,16,,16,50,33.65399167,-86.64053889
222690,2009,1,12,,14,35,33.288325,-87.19591111
222691,2009,1,9,,20,3,34.74193889,-86.55398889
222692,2009,1,19,,9,34,34.26292778,-85.85950278
222693,2009,1,4,,15,0,30.58891389,-88.20741944
222694,2009,1,17,,1,15,30.65806944,-87.81749722
222695,2009,1,22,,5,59,33.23907222,-87.576625
222696,2009,1,24,,4,15,30.67623333,-88.13023056
222697,2009,1,27,,10,0,30.68704167,-88.21108333
222698,2009,1,4,,16,37,30.64180278,-88.088025
222699,2009,1,5,,18,57,30.26722222,-87.59698611
222700,2009,1,19,,19,7,30.66060278,-88.10890833
222701,2009,2,4,,5,38,30.60831944,-88.07486389
222702,2009,1,29,,6,5,34.77898611,-86.67293333
222703,2009,1,29,,11,24,33.26536389,-87.60261111
222704,2009,1,30,,1,21,30.72925833,-88.16141667
