id,year,month,day,wekkday,hour,minute,lat,lon
410052,2004,3,5,6,12,40,47.46145278,-115.6943194
410053,2004,3,8,2,99,99,43.94821111,-116.9207583
410054,2004,3,21,1,8,53,42.08149167,-112.2192222
410055,2004,3,22,2,99,99,42.29375278,-114.5747167
410056,2004,3,19,6,19,30,43.01110278,-114.5553694
410057,2004,3,18,5,19,38,43.47942778,-112.0435139
410058,2004,3,25,5,6,15,43.34649722,-116.5999972
410059,2004,3,21,1,16,18,48.70321667,-116.0637694
410060,2004,3,3,4,21,14,43.59689722,-116.2934472
410061,2004,3,30,3,21,30,42.63396944,-112.1739056
410062,2004,3,26,6,20,30,42.74754167,-114.9241389
410063,2004,3,24,4,99,99,43.61874167,-116.9115611
410064,2004,3,2,3,14,7,43.49676111,-112.0239361
410065,2004,3,10,4,5,50,43.51938611,-116.8521222
410066,2004,4,4,1,11,6,42.18016667,-114.6342889
410067,2004,4,8,5,18,24,43.88342222,-111.5404917
410068,2004,4,9,6,2,47,42.121375,-112.2182028
410069,2004,4,10,7,22,33,43.57868056,-116.5617306
410070,2004,4,19,2,7,7,42.44533056,-113.7639917
410071,2004,4,22,5,18,25,46.36623611,-116.7955861
410072,2004,4,15,5,7,20,43.66439444,-116.8719306
410073,2004,4,28,4,11,45,43.60278056,-116.5848222
410074,2004,4,11,1,13,15,42.74113333,-114.84825
410075,2004,4,5,2,23,55,43.04551389,-115.5775
410076,2004,4,6,3,8,30,45.54122778,-116.3057167
410077,2004,4,26,2,7,20,43.25931667,-112.2430806
410078,2004,4,25,1,2,5,43.94345,-116.9277972
410079,2004,4,30,6,19,35,48.12218056,-116.6110778
410080,2004,5,4,3,7,3,43.51967222,-114.3153972
410081,2004,5,2,1,5,41,42.06689722,-111.8767917
410082,2004,5,9,1,17,21,42.568725,-113.6315139
410083,2004,5,7,6,22,16,43.65126389,-116.2796778
410084,2004,5,10,2,15,42,42.53706944,-115.8983028
410085,2004,5,10,2,11,20,42.57629167,-113.8872056
410086,2004,5,14,6,3,45,42.22473889,-112.2371417
410087,2004,3,10,4,0,4,45.148775,-116.2949333
410088,2004,4,6,3,8,45,43.68263056,-116.6722167
410089,2004,4,28,4,9,34,43.66308889,-116.623275
410090,2004,5,14,6,12,0,43.84587222,-116.4663972
