id,year,month,day,weekday,hour,minute,lat,lon
,2001,1,3,4,20,35,34.977425,-86.77585
,2001,1,3,4,5,0,33.82395,-85.80056667
,2001,1,6,7,22,58,32.27244444,-86.50723889
,2001,1,10,4,17,40,32.27613333,-86.3477
,2001,1,2,3,9,50,33.85066111,-86.82744167
,2001,1,15,2,17,45,33.18471389,-86.30013611
,2001,1,10,4,14,55,30.68966944,-88.17359444
,2001,1,13,7,15,10,33.11854167,-86.04494167
,2001,1,16,3,20,55,34.13034722,-86.41297222
,2001,1,5,6,21,30,32.17039167,-88.15696111
,2001,1,6,7,18,20,30.56506667,-88.22923333
,2001,1,6,7,13,5,34.08549167,-86.11028056
,2001,1,8,2,7,0,31.73328889,-88.006775
,2001,1,9,3,5,15,31.26530556,-86.25659444
,2001,1,11,5,23,40,30.86198056,-88.19781667
,2001,1,11,5,1,45,33.35739722,-86.39331667
,2001,1,15,2,8,9,33.29268611,-87.07956389
,2001,1,16,3,0,5,33.48282222,-85.79220556
,2001,1,28,1,6,30,32.11049167,-86.46095833
,2001,1,20,7,12,10,32.59772778,-87.00474722
,2001,1,8,2,13,59,33.36538056,-86.8824
,2001,1,2,3,11,9,33.93015,-87.81471944
,2001,1,12,6,3,30,32.42110833,-86.35979722
,2001,1,1,2,9,57,32.61731944,-85.40156111
,2001,1,30,3,15,20,34.55242222,-87.69342222
,2001,1,14,1,20,0,33.88359722,-87.04488889
,2001,1,20,7,23,0,30.77506667,-88.17136389
,2001,1,24,4,9,0,33.95979722,-87.43031389
,2001,1,3,4,10,5,33.14276944,-87.54550833
,2001,1,19,6,3,50,31.89150556,-85.14565
,2001,1,28,1,6,35,34.60475556,-87.04281111
,2001,1,26,6,2,35,33.18671111,-87.41996389
,2001,1,31,4,15,24,32.85253333,-86.62301111
,2001,1,28,1,21,20,34.30978889,-87.69384167
,2001,1,13,7,18,15,33.50185278,-86.55221667
,2001,1,25,5,14,0,31.81190556,-86.10752778
,2001,1,25,5,18,45,33.88077222,-87.33586944
,2001,1,28,1,15,25,31.76237222,-86.5461
,2001,1,22,2,7,20,33.16536944,-87.57061944
,2001,1,27,7,20,50,33.00228889,-86.31054444
,2001,1,28,1,12,55,31.20766944,-85.42402778
,2001,1,11,5,7,5,32.50073333,-85.01194722
,2001,1,26,6,12,54,34.31183889,-86.30463056
,2001,1,24,4,19,25,33.65677778,-85.83033611
,2001,1,10,4,12,53,34.16115833,-86.13619722
,2001,1,19,6,6,0,34.503725,-85.69307778
,2001,1,19,6,18,50,31.64983611,-87.708425
,2001,1,28,1,8,15,32.36316389,-86.21356111
,2001,2,1,5,6,45,34.56486111,-86.36591667
,2001,2,1,5,8,30,32.81088611,-86.7671
,2001,2,2,6,22,50,34.82966111,-85.838525
,2001,2,6,3,11,29,32.91585,-86.765
,2001,2,5,2,13,0,33.51076389,-86.83918611
,2001,2,3,7,21,50,31.339025,-86.18126111
,2001,2,5,2,20,30,31.11101667,-88.08638333
,2001,2,7,4,8,5,31.29655556,-85.721025
,2001,2,10,7,14,30,33.868025,-85.86844167
,2001,2,6,3,13,24,33.05803056,-85.40324722
,2001,2,12,2,17,29,30.90921389,-88.12412778
,2001,2,12,2,18,47,32.46314167,-85.72206944
,2001,2,3,7,13,0,33.14049444,-88.12788889
,2001,2,4,1,2,40,31.89134444,-86.19758889
,2001,2,10,7,12,45,32.05346111,-85.51545556
,2001,2,16,6,3,15,31.85273611,-86.05711111
,2001,2,5,2,19,0,31.08911944,-87.52795
,2001,2,1,5,15,40,33.36503889,-86.17034722
,2001,2,7,4,22,30,34.22368889,-86.74608333
,2001,2,15,5,9,45,33.136475,-86.24845
,2001,2,18,1,18,5,32.91585,-86.75975278
,2001,2,19,2,22,30,33.655575,-86.40810278
,2001,2,15,5,12,45,32.04466389,-86.21395
,2001,2,15,5,13,30,31.02883889,-87.68365
,2001,2,14,4,21,30,33.55731111,-86.90448333
,2001,2,17,7,23,45,30.75617222,-88.25260833
,2001,2,22,5,5,50,34.71831111,-86.64293611
,2001,2,5,2,7,45,34.39741389,-86.71077222
,2001,2,23,6,10,20,33.92556667,-85.58152778
,2001,2,15,5,18,45,33.59948611,-86.215775
,2001,2,16,6,14,5,31.63183889,-88.38058056
,2001,2,17,7,11,50,34.20208056,-86.53366111
,2001,2,18,1,20,45,33.77536111,-86.24875833
,2001,2,1,5,9,9,33.34347222,-87.01407778
,2001,2,12,2,14,0,34.25386944,-88.17276111
,2001,2,25,1,1,55,30.253725,-87.79776389
,2001,2,25,1,15,42,33.0992,-86.73854167
,2001,2,28,4,13,0,33.57983611,-86.47475833
,2001,2,26,2,21,57,33.66776944,-85.90128056
,2001,2,14,4,18,14,34.72115556,-86.56323611
,2001,2,19,2,17,50,32.89309167,-86.03374167
,2001,2,25,1,10,14,31.65328611,-86.77246944
,2001,2,20,3,12,40,34.51246944,-87.71718333
,2001,2,22,5,9,25,32.35606667,-86.17058889
,2001,2,17,7,12,16,34.37261111,-86.01479444
,2001,2,20,3,12,15,34.72210556,-86.60972778
,2001,2,16,6,14,42,31.25015833,-85.42320278
,2001,2,19,2,9,50,33.42775833,-87.502825
,2001,2,22,5,7,45,33.19801111,-87.53044444
,2001,2,26,2,13,52,34.75983889,-85.94657778
,2001,2,23,6,10,55,32.32748889,-86.32037778
,2001,2,14,4,18,33,32.38195,-86.26879444
,2001,2,25,1,19,3,34.52123889,-86.88757778
,2001,2,20,3,22,30,33.282125,-87.80664444
,2001,6,11,2,16,45,34.52835,-87.20702778
,2001,6,3,1,15,15,33.69263889,-87.69201667
,2001,6,4,2,16,28,34.01434722,-87.82928333
,2001,6,6,4,6,40,33.81520278,-88.11586667
,2001,6,13,4,14,15,33.282125,-87.12242222
,2001,6,17,1,1,45,30.43269722,-88.10840833
,2001,6,21,5,11,5,31.08140278,-87.539225
,2001,6,19,3,14,2,31.87894167,-85.15551944
,2001,6,24,1,17,20,33.05125278,-86.76080278
,2001,6,10,1,3,20,34.97685833,-87.84107778
,2001,6,23,7,20,45,31.79832222,-85.72185556
,2001,6,7,5,10,56,34.09701111,-87.98805833
,2001,6,21,5,7,25,32.56533611,-86.46585833
,2001,6,13,4,20,30,32.61369722,-85.11056111
,2001,6,17,1,6,35,33.05645556,-85.97560833
,2001,6,20,4,1,30,33.69639722,-85.38016944
,2001,6,4,2,4,45,31.03218333,-85.87830556
,2001,6,28,5,20,35,32.43474722,-86.49313333
,2001,6,29,6,21,0,34.085175,-86.11043889
,2001,6,16,7,16,35,34.41260278,-86.69922778
,2001,6,11,2,23,30,34.53443611,-86.58986111
,2001,6,8,6,8,10,30.67766111,-88.06998056
,2001,6,17,1,22,50,30.70137778,-88.04855
,2001,6,24,1,13,20,33.29091389,-87.62836944
,2001,6,14,5,11,30,33.76327222,-86.27733056
,2001,6,30,7,6,10,31.50566389,-86.92321944
,2001,6,8,6,1,45,31.29401389,-87.07506111
,2001,6,10,1,13,30,31.96801389,-87.70990556
,2001,6,22,6,22,35,34.34784722,-86.90391667
,2001,6,30,7,17,30,34.59114167,-87.02978611
,2001,6,29,6,11,15,33.42019167,-86.69526389
,2001,6,22,6,7,32,33.506525,-86.88844722
,2001,6,30,7,1,29,30.27920278,-87.67384722
,2001,6,29,6,20,25,33.07600556,-85.77691389
,2001,6,9,7,5,17,33.41029722,-86.80023889
,2001,6,1,6,17,43,32.32256111,-86.18438611
,2001,6,24,1,2,55,34.87683333,-87.70840556
,2001,1,7,1,17,5,33.79173333,-87.27551944
,2001,2,1,5,13,26,34.40451944,-86.27316667
,2001,2,15,5,15,0,33.58938611,-87.11030278
,2001,3,20,3,22,39,30.73521944,-88.103025
,2001,4,18,4,7,40,34.63007222,-86.76343333
,2001,3,7,4,2,30,33.19047778,-87.32455
,2001,4,9,2,11,50,30.50865556,-88.25827778
,2001,7,1,1,15,30,32.26341944,-86.65713333
,2001,7,2,2,15,5,33.78168056,-85.72941389
,2001,7,7,7,9,15,33.92374722,-87.62432778
,2001,7,7,7,3,10,32.00833056,-85.6574
,2001,7,3,3,9,37,32.66546389,-85.47387778
,2001,7,16,2,11,12,33.76981389,-86.81493889
,2001,7,10,3,15,36,34.73633611,-86.47594722
,2001,7,14,7,20,30,34.87011667,-86.455075
,2001,7,13,6,13,15,32.01890278,-86.65465556
,2001,7,16,2,8,30,33.14681111,-86.46323333
,2001,7,11,4,14,50,33.916675,-87.31421667
,2001,7,11,4,22,10,33.04003611,-86.22763889
,2001,7,16,2,20,0,33.8238,-86.97919722
,2001,7,24,3,14,5,32.29096667,-85.36114444
,2001,7,6,6,14,15,30.634825,-87.66427222
,2001,7,6,6,20,50,30.45575278,-88.23938333
,2001,7,8,1,10,50,30.48409444,-88.32251667
,2001,7,11,4,18,15,32.19844722,-85.03262222
,2001,7,14,7,15,30,32.44854167,-85.75287222
,2001,7,16,2,21,40,30.63335833,-88.22615833
