id,year,month,day,weekday,hour,minute,lat,lon
,2010,1,15,6,4,10,32.64106389,-85.35469167
,2010,1,11,2,6,0,31.43044722,-86.95669444
,2010,1,14,5,15,10,30.69163056,-88.08577778
,2010,1,21,5,1,16,33.8687,-86.29116389
,2010,1,4,2,6,38,33.30974167,-86.78722222
,2010,1,1,6,5,34,32.78581389,-86.57450833
,2010,1,1,6,2,40,30.46146389,-88.29401944
,2010,1,2,7,15,37,33.99555556,-86.43900278
,2010,1,2,7,9,55,32.70871667,-86.14818611
,2010,1,3,1,13,50,32.25259444,-85.00338333
,2010,1,4,2,5,50,34.32906111,-86.16592222
,2010,1,4,2,16,20,31.9941,-87.86773056
,2010,1,5,3,23,30,33.06655,-87.53685278
,2010,1,6,4,17,1,33.88872778,-86.76163056
,2010,1,6,4,15,21,32.58800833,-86.92938056
,2010,1,7,5,9,5,33.69823889,-87.25543611
,2010,1,7,5,15,0,34.23519444,-85.79175278
,2010,1,7,5,13,30,31.50969444,-87.48523611
,2010,1,10,1,4,37,32.03341944,-86.03257222
,2010,1,7,5,16,49,34.20842222,-87.05831944
,2010,1,7,5,16,34,34.21050556,-86.28487222
,2010,1,11,2,6,28,34.07256944,-85.9192
,2010,1,11,2,13,4,34.54016667,-86.91805833
,2010,1,12,3,15,5,34.25094722,-86.10614167
,2010,1,13,4,3,30,30.46113611,-88.25905833
,2010,1,14,5,0,1,32.12425278,-86.27341389
,2010,1,16,7,5,0,31.66762778,-85.83286667
,2010,1,15,6,14,45,34.18200556,-86.64188056
,2010,1,17,1,21,35,34.23168333,-86.61481667
,2010,1,18,2,17,40,32.17258889,-86.67206944
,2010,1,21,5,22,30,33.77533611,-87.46370278
,2010,1,22,6,5,40,33.70572222,-86.40302222
,2010,1,23,7,15,45,31.00506667,-87.58129167
,2010,1,28,5,12,25,33.628725,-85.55716667
,2010,1,30,7,15,25,33.53526944,-86.69771944
,2010,1,5,3,5,55,32.00395556,-87.31188056
,2010,1,10,1,21,55,34.25121389,-86.25799167
,2010,1,14,5,12,40,31.42496389,-87.13844722
,2010,1,15,6,21,50,32.47539167,-85.36676389
,2010,1,16,7,13,35,32.45680833,-85.18741111
,2010,1,17,1,1,20,30.775875,-88.18546667
,2010,1,18,2,14,15,33.87975833,-87.16157778
,2010,1,20,4,18,35,32.58449167,-87.34401111
,2010,1,23,7,17,40,30.76025833,-88.15321944
,2010,1,24,1,5,0,32.6189,-86.22354722
,2010,1,24,1,17,30,32.82171389,-85.59425833
,2010,1,25,2,7,35,34.72885556,-86.48895556
,2010,1,28,5,10,40,33.49440833,-85.68269444
,2010,1,28,5,7,1,34.76536111,-86.87728056
,2010,1,29,6,11,15,34.957825,-87.52741389
,2010,1,29,6,11,17,34.69036667,-86.00071944
,2010,1,30,7,2,40,33.64933611,-85.72008611
,2010,2,1,2,14,45,34.89723889,-87.53185278
,2010,2,2,3,23,40,34.90518611,-87.82072778
,2010,2,4,5,9,20,30.56756944,-87.64526111
,2010,2,4,5,20,45,33.36529167,-86.71638056
,2010,2,6,7,16,10,34.05106944,-85.81016389
,2010,2,6,7,20,30,33.53010833,-85.94894722
,2010,2,7,1,11,25,34.027375,-86.11078611
,2010,2,8,2,17,12,34.61162222,-86.97446944
,2010,2,8,2,23,15,34.17349167,-86.5389
,2010,2,10,4,20,15,34.66890833,-86.95017778
,2010,2,12,6,13,15,34.02105833,-86.11753333
,2010,2,12,6,11,45,32.26628611,-85.94693611
,2010,2,12,6,12,33,34.93194722,-85.5974
,2010,1,21,5,12,40,30.71966667,-88.1439
,2010,2,1,2,6,10,34.62860833,-86.94285
,2010,2,2,3,5,36,31.41861111,-87.00978889
,2010,2,5,6,0,57,31.87659167,-85.23907778
,2010,1,5,3,7,45,33.41061389,-86.97054167
,2010,1,16,7,0,35,32.32568056,-86.73812222
,2010,1,21,5,17,33,32.87381944,-86.65406111
,2010,2,9,3,10,13,31.264175,-86.22892778
,2010,2,17,4,4,40,33.17044167,-87.37550278
,2010,2,26,6,23,57,30.65161944,-88.20765
,2010,2,27,7,17,19,30.79537778,-88.07703889
,2010,2,12,6,22,7,32.77789444,-88.05328611
,2010,2,16,3,23,15,33.86401944,-86.10808333
,2010,2,18,5,13,28,33.31984167,-86.78858056
,2010,2,19,6,15,25,34.73163333,-87.86328889
,2010,2,27,7,16,0,33.5201,-86.85557222
,2010,2,5,6,10,25,33.37401111,-86.82911389
,2010,2,19,6,22,55,33.87740278,-87.2497
,2010,2,23,3,11,20,34.10185,-86.26273333
,2010,2,26,6,18,0,32.69951667,-87.55096667
,2010,2,27,7,1,15,34.22405833,-87.66298056
,2010,1,24,1,20,2,34.62146667,-86.16575556
,2010,2,20,7,20,56,34.44089444,-85.91096111
,2010,2,12,6,5,50,33.54068056,-87.08343056
,2010,2,12,6,20,0,33.57085833,-85.85282778
,2010,2,13,7,19,35,34.76989444,-86.70640833
,2010,2,15,2,7,45,34.79123333,-87.03011944
,2010,2,26,6,6,45,33.81895556,-86.21908333
,2010,2,27,7,0,45,32.01388889,-86.51933889
,2010,2,28,1,3,30,31.63695833,-87.67197222
,2010,2,28,1,8,19,32.44179167,-85.19560556
,2010,3,16,3,17,16,30.67776944,-87.98653611
,2010,3,23,3,2,11,33.58479167,-86.50296111
,2010,3,1,2,0,35,33.13769444,-87.64694167
,2010,3,4,5,5,53,33.47755833,-86.92650556
,2010,3,5,6,3,0,34.51023056,-86.60039722
,2010,3,5,6,17,53,33.94765,-86.66964722
,2010,3,7,1,9,0,31.11272222,-87.63730556
,2010,3,8,2,12,55,32.53660278,-85.08393889
,2010,3,8,2,10,25,33.15569167,-85.30783611
,2010,4,11,1,17,20,34.52496389,-86.98576944
,2010,4,13,3,20,48,34.22063889,-85.59632222
,2010,4,15,5,14,25,34.49039444,-86.83872778
,2010,4,13,3,1,15,33.61486944,-85.74397778
,2010,1,15,6,8,45,33.5168,-87.04959167
,2010,1,17,1,0,40,33.32699722,-86.90885
,2010,1,24,1,0,0,33.55803056,-86.50056944
,2010,2,19,6,19,16,34.27760833,-87.69914722
,2010,3,1,2,20,0,30.687425,-88.04191389
,2010,3,3,4,15,16,31.29174722,-85.84850833
,2010,3,15,2,0,50,30.65559167,-88.14048056
